call_order,duration,start_time,end_time
Node.add,0:00:00.000011,2025-09-03 17:43:04.293256,2025-09-03 17:43:04.293256
Node.divide,0:00:00.000006,2025-09-03 17:43:04.293356,2025-09-03 17:43:04.293356
Node.multiply,0:00:00.000005,2025-09-03 17:43:04.293457,2025-09-03 17:43:04.293457
Node.subtract,0:00:00.000006,2025-09-03 17:43:04.293548,2025-09-03 17:43:04.293548
Node.collect,0:00:00.000016,2025-09-03 17:43:04.307403,2025-09-03 17:43:04.307403
Node.welcome,0:00:00.000018,2025-09-03 17:43:04.344237,2025-09-03 17:43:04.344237
