call_order,duration,start_time,end_time
Node.add,0:00:00.000011,2025-08-25 21:40:42.757183,2025-08-25 21:40:42.757183
Node.divide,0:00:00.000008,2025-08-25 21:40:42.757312,2025-08-25 21:40:42.757312
Node.multiply,0:00:00.000007,2025-08-25 21:40:42.757384,2025-08-25 21:40:42.757384
Node.subtract,0:00:00.000009,2025-08-25 21:40:42.757472,2025-08-25 21:40:42.757472
Node.collect,0:00:00.000006,2025-08-25 21:40:42.766655,2025-08-25 21:40:42.766655
