call_order,duration,start_time,end_time
Node.add,0:00:00.000016,2025-08-25 21:40:42.754890,2025-08-25 21:40:42.754890
Node.divide,0:00:00.000012,2025-08-25 21:40:42.755012,2025-08-25 21:40:42.755012
Node.multiply,0:00:00.000010,2025-08-25 21:40:42.755128,2025-08-25 21:40:42.755128
Node.subtract,0:00:00.000010,2025-08-25 21:40:42.755216,2025-08-25 21:40:42.755216
Node.collect,0:00:00.000008,2025-08-25 21:40:42.764815,2025-08-25 21:40:42.764815
Node.welcome,0:00:00.000009,2025-08-25 21:40:42.768701,2025-08-25 21:40:42.768701
